Molecule ChEMBL ID,Smiles,Standard Value
CHEMBL3084581,O=C(N[C@@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccc2cc(F)ccc2c1)c1cc[n+]([O-])cc1C(=O)N1CCCCC1,40000
CHEMBL205742,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3ccnc4ccccc34)sc21,16000
CHEMBL208154,C[C@H]([C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1)N(C)C,5000
CHEMBL398584,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,30000
CHEMBL557885,COc1ccc(Nc2nc3cc(C(N)=O)ccc3n2Cc2ccccc2C(F)(F)F)cc1,8000
CHEMBL565195,CS(=O)(=O)c1ccc(Nc2nc3cc(C(N)=O)ccc3n2Cc2ccccc2C(F)(F)F)cc1,8000
CHEMBL462093,O=C1CCc2cc(-c3cccnc3)ccc2C1,28300
CHEMBL446083,CN1C(=O)CCc2cc(-c3cccnc3)ccc21,125000
CHEMBL4557670,C[C@H]1SC(N)=N[C@](C)(c2cc(NC(=O)c3cnc(OCF)cn3)ccc2F)[C@H]1F,3500
CHEMBL4100866,O=c1[nH]c(-c2ccc(Oc3ccc(Cl)cc3Cl)cc2)nc2ccccc12,50000
CHEMBL3127500,CS(=O)(=O)c1cccc(S(=O)(=O)c2ccc(NC(=O)[C@@H]3C[C@H]3c3cccnc3)cc2)c1,570
CHEMBL3127522,Nc1ccc([C@@H]2C[C@H]2C(=O)Nc2ccc(S(=O)(=O)c3ccccc3)cc2)cn1,10000
CHEMBL3903048,COc1cc(-c2ccccc2C(F)(F)F)c(F)cc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3ccon3)ccc21,510
CHEMBL4101809,COc1nc(C2=NOC[C@H](c3cc4ccccc4o3)N2)ccc1-n1cnc(C)c1,8000
CHEMBL4072091,COc1ccccc1/C=C/C(=O)c1cccnc1,20000
CHEMBL4063471,COc1ccc(/C=C/C(=O)c2cccnc2)cc1OC,20000
CHEMBL94036,COc1ccc(Cl)cc1-c1c(CCO)c(O)nc2ccc(C(F)(F)F)cc12,5470
CHEMBL3311223,N#Cc1ccc(-c2ccc(C(F)(F)C(O)(Cn3cnnn3)c3ccc(F)cc3F)nc2)cc1,60000
CHEMBL2409710,C[C@]1(CS(=O)(=O)N2CCC(Oc3ccc(C(F)(F)F)cc3)CC2)NC(=O)NC1=O,40000
CHEMBL246599,CCCN1C(=O)COc2ccc(CN3CCN(CCOc4cccc5nc(C)ccc45)CC3)cc21,18000
CHEMBL4468228,N#Cc1ccc(COc2ccc3nc(N)sc3c2)cc1,25000
CHEMBL1947144,COc1ccc2c(-n3c(=O)n(Cc4cccc([C@@]5(C)OC(=O)NC5=O)c4)c4ccccc43)noc2c1,2000
CHEMBL4065483,CC(C)(C)n1ncc(C(=O)N[C@@H](Cc2ccc(OC(F)(F)F)c(Cl)c2)C(=O)NC2(C#N)CC2)n1,5000
CHEMBL1928095,COc1ccc(-c2sc(/N=C/c3ccc(-c4ccccc4)cc3)c(C#N)c2C)cc1OC,1400
CHEMBL1796298,O=C(NCc1ccncn1)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,10000
CHEMBL1209685,C[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCCC3)n2)cc1,5000
CHEMBL1650526,FC(F)(F)Oc1ccccc1-c1cc(C(F)(F)F)c2[nH]c(C3=NOC4(CCCCC4)C3)nc2c1,10000
CHEMBL1650527,FC(F)(F)c1cc(-c2ccccc2Cl)cc2nc(C3=NOC4(CCCCC4)C3)[nH]c12,10000
CHEMBL1242904,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4nccn4-5)CC3)cccc2n1,4000
CHEMBL1241640,CCOC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2,4000
CHEMBL1515648,COC(=O)c1ccc(CSc2nc3c(c(=O)[nH]2)CCC3)cc1,20000
CHEMBL1090209,O=S(=O)(N[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@H]2C1)C(F)(F)F,300
CHEMBL4239823,O=S(=O)(c1cncc2ccccc12)N1CCC[C@H]1CCN1CCN(c2cccc3sccc23)CC1,100000
CHEMBL1241913,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(N)=O)ncn4-5)CC3)cccc2n1,9000
CHEMBL208787,CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc2occc2c1,3500
CHEMBL375812,O=C(O)C[C@@H]1CCc2cc(OCCCOc3ccc(-c4nc5c(s4)CCCC5)cc3)ccc21,10000
CHEMBL2113263,CCCc1cc(-c2nc3c(s2)CCCC3)ccc1OCCCOc1ccc2c(c1)CC[C@H]2CC(=O)O,10000
CHEMBL1089116,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,100
CHEMBL218068,O=C(OCc1ccccc1)N1CCC(CNc2ccncn2)CC1,500
CHEMBL218017,O=C(OCc1ccccc1)N1CCC(CNc2ccccn2)CC1,25000
CHEMBL4203720,COc1cccc(NC(C(=O)c2c[nH]c3ccccc23)c2nc3ccccc3o2)c1,6100
CHEMBL1078354,CC1(c2ccccc2)CCCN(C(=O)NCCc2ccc3nc[nH]c3c2)C1,10000
CHEMBL1080472,Cc1cccc(C)c1CNc1nc(-n2ccccc2=O)cc2c(C)c(C)[nH]c12,3300
CHEMBL1076210,Cc1cccc(C)c1CNc1nccc2c(C)c(C)[nH]c12,33000
CHEMBL387620,O=C(NCC1(O)CCCCC1)c1cnc(Nc2cccc(Cl)c2)nc1C(F)(F)F,10000
CHEMBL226386,O=C(NCC1CCCC1)c1cnc(Nc2cccc(Cl)c2)nc1C(F)(F)F,6000
CHEMBL346178,CC(=O)N(C)C1(c2ccccc2)CCN(CCC[C@]2(c3ccc(Cl)c(Cl)c3)CCCN(C(=O)c3ccccc3)C2)CC1,11000
CHEMBL276140,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,100000
CHEMBL189942,CCN1c2ncc(CCOc3ccc(C(=O)O)cc3C)cc2C(=O)N(C)c2ccc(F)nc21,6000
CHEMBL151974,CCCCOc1ccc(-c2ccncn2)cc1,46
CHEMBL150999,CCCCOc1ccc(-c2ncc[nH]2)cc1,27200
