Molecule ChEMBL ID,Smiles,Standard Value
CHEMBL2158135,COc1cc(/C=N/NC(=O)c2nc(-c3ccc(O)cc3)no2)ccc1O,200000.0
CHEMBL2158236,O=C(N/N=C/c1ccc2c(c1)OCO2)c1nc(-c2ccc(O)cc2)no1,200000.0
CHEMBL2159973,COc1ccc2nccc([C@H](O)CC[C@@H]3CCN(CCSc4ccco4)C[C@@H]3C(=O)O)c2c1,100000.0
CHEMBL2159974,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(CCSc4ccco4)C[C@@H]3C(=O)O)c2c1,100000.0
CHEMBL2159975,COc1ccc2nccc([C@H](O)CC[C@@H]3CCN(CCSc4cccs4)C[C@@H]3C(=O)O)c2c1,100000.0
CHEMBL2159976,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(CCSc4cccs4)C[C@@H]3C(=O)O)c2c1,100000.0
CHEMBL216146,Cn1c(=O)ccc2ccccc21,100000.0
CHEMBL219216,COc1c(-c2ccc3c(c2)CNC3)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,35000.0
CHEMBL219534,COc1c(-c2ccnc(C)c2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,100000.0
CHEMBL220656,COc1c(-c2cc(C)nc(C)c2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,65000.0
CHEMBL222838,NCCC[C@](N)(C(=O)O)C(F)F,100000.0
CHEMBL2420465,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3ccc(O)cc3)c2c1,100000.0
CHEMBL2420480,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3cccc(-c4nnn[nH]4)c3)c2c1,100000.0
CHEMBL2420506,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3ccccc3)c2c1,100000.0
CHEMBL2420507,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3cccc(O)c3)c2c1,100000.0
CHEMBL2440136,Cc1ccc(S(=O)(=O)Cc2nc3ccc(I)cn3c2[N+](=O)[O-])cc1,50000.0
CHEMBL2441873,Cc1nc2ccccn2c1[N+](=O)[O-],100000.0
CHEMBL2441874,ClCc1cn2ccccc2n1,100000.0
CHEMBL2441875,O=S(=O)(Cc1cn2ccccc2n1)c1ccccc1,100000.0
CHEMBL2441876,O=[N+]([O-])c1c(CCl)nc2ccccn12,8700.0
CHEMBL2441877,O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2ccccn12,62500.0
CHEMBL2441878,O=S(=O)(Cc1cn2cc(I)ccc2n1)c1ccccc1,5000.0
CHEMBL2441879,Cc1ccc(S(=O)(=O)Cc2cn3cc(I)ccc3n2)cc1,12500.0
CHEMBL2441880,O=S(=O)(Cc1cn2cc(I)ccc2n1)c1ccc(Cl)cc1,39100.0
CHEMBL2441881,O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2ccc(I)cn12,100000.0
CHEMBL2441882,O=[N+]([O-])c1c(CS(=O)(=O)c2ccc(Cl)cc2)nc2ccc(I)cn12,50000.0
CHEMBL2441883,O=S(=O)(Cc1cn2cc(Cl)ccc2n1)c1ccccc1,16500.0
CHEMBL2441884,Cc1ccc(S(=O)(=O)Cc2cn3cc(Cl)ccc3n2)cc1,68300.0
CHEMBL2441885,O=S(=O)(Cc1cn2cc(Cl)ccc2n1)c1ccc(Cl)cc1,71500.0
CHEMBL2441886,O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2ccc(Cl)cn12,100000.0
CHEMBL2441887,Cc1ccc(S(=O)(=O)Cc2nc3ccc(Cl)cn3c2[N+](=O)[O-])cc1,100000.0
CHEMBL2441888,O=[N+]([O-])c1c(CS(=O)(=O)c2ccc(Cl)cc2)nc2ccc(Cl)cn12,25000.0
CHEMBL2441889,ClCc1cn2cc(Br)ccc2n1,100000.0
CHEMBL2441890,O=S(=O)(Cc1cn2cc(Br)ccc2n1)c1ccccc1,7300.0
CHEMBL2441891,Cc1ccc(S(=O)(=O)Cc2cn3cc(Br)ccc3n2)cc1,28900.0
CHEMBL2441892,O=S(=O)(Cc1cn2cc(Br)ccc2n1)c1ccc(Cl)cc1,23000.0
CHEMBL2441893,O=[N+]([O-])c1c(CCl)nc2ccc(Br)cn12,15600.0
CHEMBL2441894,O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2ccc(Br)cn12,100000.0
CHEMBL2441895,Cc1ccc(S(=O)(=O)Cc2nc3ccc(Br)cn3c2[N+](=O)[O-])cc1,5900.0
CHEMBL2441896,O=[N+]([O-])c1c(CS(=O)(=O)c2ccc(Cl)cc2)nc2ccc(Br)cn12,5500.0
CHEMBL2441897,O=[N+]([O-])c1c(CS(=O)(=O)c2ccc(Br)cc2)nc2ccc(Br)cn12,39000.0
CHEMBL2441898,O=[N+]([O-])c1c(CS(=O)(=O)c2ccc(I)cc2)nc2ccc(Br)cn12,20300.0
CHEMBL2441899,O=[N+]([O-])c1c(CS(=O)(=O)c2ccc(F)cc2)nc2ccc(Br)cn12,100000.0
CHEMBL2441900,O=[N+]([O-])c1c(CS(=O)(=O)c2ccc(C(F)(F)F)cc2)nc2ccc(Br)cn12,31700.0
CHEMBL2441901,COc1ccc(S(=O)(=O)Cc2nc3ccc(Br)cn3c2[N+](=O)[O-])cc1,100000.0
CHEMBL2441902,CS(=O)(=O)Cc1nc2ccc(Br)cn2c1[N+](=O)[O-],100000.0
CHEMBL2441903,O=[N+]([O-])c1c(CS(=O)(=O)c2ccc(-c3ccccc3)cc2)nc2ccc(Br)cn12,100000.0
CHEMBL2441904,O=[N+]([O-])c1c(CSc2ccccc2)nc2ccc(Br)cn12,530.0
CHEMBL2441905,Cc1ccccc1-c1ccc2nc(CS(=O)(=O)c3ccccc3)c([N+](=O)[O-])n2c1,9400.0
CHEMBL2441908,COc1cc(-c2ccc3nc(CS(=O)(=O)c4ccccc4)c([N+](=O)[O-])n3c2)cc(OC)c1OC,34700.0
CHEMBL2441910,O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2c(Br)cc(Br)cn12,31000.0
CHEMBL267345,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,8800.0
CHEMBL269277,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,400000.0
CHEMBL269671,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,30000.0
CHEMBL271646,Clc1nc(C(Cl)(Cl)Cl)nc2ccccc12,125000.0
CHEMBL272089,ClC(Cl)(Cl)c1nc(-c2ccccc2)c2ccccc2n1,125000.0
CHEMBL290960,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,45200.0
CHEMBL299872,Nc1ccn([C@@H]2CC[C@H](CO)O2)c(=O)n1,85000.0
CHEMBL3040216,CC1=CCC(C(=O)/N=C2\CC=C(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c32)=C/C1=N/C(=O)C1=CC=C/C(=N\C(=O)/N=C2\C=CC=C(C(=O)/N=C3/CC(C(=O)/N=C4\CC=C(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c54)=CC=C3C)C2)C1,100000.0
